date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
5/18/2017,fr,56,336533,0nhKXS1KL8ffn40Un1q91D,['Sofiane'],"['pop urbaine', 'francoton', 'rap conscient', 'french hip hop', 'rap francais', 'french pop']",172906,TRUE,Poto
8/12/2021,za,184,21380,58YSj0JsY315sVZ4UlcAOM,['Busta 929'],"['amapiano', 'south african pop', 'afro soul']",372412,FALSE,Thixo Somandla
4/22/2021,tw,93,80855,406KPQqXM4AQlT5KSmFcvG,"['Sophie Chen', 'Vicky Chen']","['taiwan pop', 'taiwan singer-songwriter', 'mandopop']",201150,FALSE,Fall in Love
8/3/2017,id,168,51119,0O6g2QFUhuLqRzGqhyzrIu,['Fourtwnty'],"['indonesian folk', 'indonesian indie', 'indonesian pop']",251000,FALSE,Hitam Putih
3/8/2018,cr,174,17560,41Q5dO5UhYF7ufAZ9wbWHa,"['Mr. Vegas', 'Lizi', 'Walshy Fire']","['instrumental funk', 'dancehall', 'soca', 'reggae fusion', 'azonto']",157000,FALSE,So High
11/21/2019,fi,166,50320,59ZxhO3nRQ3VV6F7cD8N6i,"['ABREU', 'Bizi']","['suomi rock', 'finnish dance pop', 'finnish hip hop', 'finnish pop']",200662,FALSE,Rakastan mua enemmän (feat. Bizi)
10/29/2020,global,141,5559422,3apeXzypBMnUfYcZYNX6DH,['TWICE'],"['k-pop', 'k-pop girl group']",205493,FALSE,I CAN'T STOP ME
11/30/2017,pl,151,49203,0IBMGFOkDcEIBLoI6x2B3T,"['Paluch', 'Sarius']","['polish trap', 'polish hip hop', 'rap motywacja', 'polish alternative rap']",240233,TRUE,Krótka Piłka
4/27/2017,cz,113,10979,0WZFWGPpCBvuC9zfQtJzED,['Rest'],"['czech hip hop', 'czsk hip hop', 'czsk reggae']",229340,TRUE,Víc Klidu
6/6/2019,cy,159,1365,17UKBWEt4qmyIbPw5HUNKt,"['Kings', 'Themis Adamantidis']","['greek pop', 'laiko']",205890,FALSE,Vasilias
4/15/2021,de,2,3630802,26hbmLeqiz8loWjFshsegF,['Luciano'],['german drill'],176520,FALSE,KIDS FROM THE BLOCK
11/2/2014,lt,150,1563,5jGutySJAt9NrudLyG6YG9,['Ten Hands'],[],56181,FALSE,Trabajaras
6/4/2020,de,116,675265,4Pfmq1CGxLyQBn2ux96Ey9,['NGEE'],"['german underground rap', 'german hip hop']",166858,TRUE,Auf der Jagd
4/29/2021,il,128,30887,25Q7MflwY76jaCyKyqEuUY,['Stephane Legar'],"['israeli pop', 'israeli hip hop']",174792,FALSE,נעים מאוד
